diputadoID	nombre	distrito	genero
121	GONZALEZ, María América	Cdad.Aut.Bs.As.	F
122	GONZALEZ, Nancy Susana	Chubut	F
123	GORBACZ, Leonardo Ariel	Tierra del Fuego	M
124	GRIBAUDO, Christian Alejandro	Buenos Aires	M
125	GUERCI de SIUFI, Beatriz Elvira	Jujuy	F
126	GULLO, Juan Carlos Dante	Cdad.Aut.Bs.As.	M
127	GUTIERREZ, Graciela Beatriz	Santa Cruz	F
128	HALAK, Beatriz Susana	Córdoba	F
129	HEREDIA, Arturo Miguel	Córdoba	M
130	HERRERA, Alberto	Tucumán	M
131	HERRERA, Griselda Noemí	La Rioja	F
132	HERRERA, José Alberto	Santiago del Estero	M
133	HOTTON, Cynthia Liliana	Cdad.Aut.Bs.As.	F
134	IBARRA, Vilma Lidia	Cdad.Aut.Bs.As.	F
135	IGLESIAS, Fernando Adolfo	Cdad.Aut.Bs.As.	M
136	ILARREGUI, Luis Alfredo	Buenos Aires	M
137	IRRAZABAL, Juan Manuel	Misiones	M
138	ITURRIETA, Miguel Angel	Misiones	M
139	KAKUBUR, Emilio	Misiones	M
140	KATZ, Daniel	Buenos Aires	M
141	KENNY, Eduardo Enrique Federico	La Pampa	M
142	KORENFELD, Beatriz Liliana	Santa Cruz	F
143	KRONEBERGER, Daniel	La Pampa	M
144	KUNKEL, Carlos Miguel	Buenos Aires	M
145	LANCETA, Rubén Orfel	Buenos Aires	M
146	LANDAU, Jorge Alberto	Buenos Aires	M
147	LEDESMA, Julio Rubén	Buenos Aires	M
148	LEGUIZAMON, María Laura	Buenos Aires	F
149	LEMOS, Silvia	Mendoza	F
150	LENZ, María Beatriz	Cdad.Aut.Bs.As.	F
151	LEVERBERG, Stella Maris	Misiones	F
152	LINARES, María Virginia	Buenos Aires	F
153	LLANOS, Edith	Buenos Aires	F
154	LLERA, Timoteo	Misiones	M
155	LOPEZ ARIAS, Marcelo Eduardo	Salta	M
156	LOPEZ, Ernesto Segundo	San Juan	M
157	LOPEZ, Rafael Angel	Formosa	M
158	LORENZO BOROCOTO, Eduardo	Cdad.Aut.Bs.As.	M
159	LORGES, Juan Carlos	Buenos Aires	M
160	LOZANO, Claudio Raúl	Cdad.Aut.Bs.As.	M
161	LUNA de MARCOS, Ana Zulema	Santiago del Estero	F
162	LUSQUIÑOS, Luis Bernardo	San Luis	M
163	MACALUSE, Eduardo Gabriel	Buenos Aires	M
164	MARCONATO, Gustavo Angel	Santa Fe	M
165	MARINO, Adriana del Carmen	San Juan	F
