asuntoId	asunto	dia	fecha
172	Exp. 45-S-07 y otros - O.D. 1983 - Vot. en Gral. y Part. del 28/10/2009 23:10	28/10/2009	28/10/2009 23:10
173	Exp. 4638-D-09 - O.D. 2235 - Vot. en General y Particular. del 18/11/2009 22:03	18/11/2009	18/11/2009 22:03
174	Exp. 4664-D-08 - Orden del Día 1233 - Votación en General. del 03/12/2008 23:23	03/12/2008	03/12/2008 23:23
175	Exp. 4715-D-08 - O.D. 1344 - Vot. Gral y Part. del 28/10/2009 23:05	28/10/2009	28/10/2009 23:05
176	Exp. 4920-D-08 - Orden del Día 1647 - Votación en General. del 20/05/2009 21:05	20/05/2009	20/05/2009 21:05
177	Exp. 4942-D-09 - O.D. 2350 - Vot. en General y Particular. del 25/11/2009 17:43	25/11/2009	25/11/2009 17:43
178	Exp. 4979-D-08 - O.D. 2371 - Vot. en General y Particular. del 25/11/2009 14:08	25/11/2009	25/11/2009 14:08
179	Exp. 4984-D-07 (y otros) - O. D. 1503 - Votación en General. del 17/12/2008 17:42	17/12/2008	17/12/2008 17:42
180	Exp. 4-PE-08 - Votación en General. del 07/05/2008 22:06	07/05/2008	07/05/2008 22:06
181	Exp. 517-D-08 - O.D. 2148 - Vot. en General y Particular. del 18/11/2009 21:29	18/11/2009	18/11/2009 21:29
182	Exp. 51-S-08 - Votación en General. del 20/08/2008 18:35	20/08/2008	20/08/2008 18:35
183	Exp. 5259-D-08 - O.D.2202 - Vot. en General y Particular del 11/11/2009 21:14	11/11/2009	11/11/2009 21:14
184	Exp. 5273-D-08 - O. D. 1136 - Vot. en General y Particular. del 11/12/2008 02:35	11/12/2008	11/12/2008 02:35
185	Exp. 53-S-08 - Orden del Día 1371 - Votación en General. del 26/11/2008 22:19	26/11/2008	26/11/2008 22:19
186	Exp. 556-D-08 - Proyecto de Resolución. del 12/03/2008 18:40	12/03/2008	12/03/2008 18:40
187	Exp. 55-S-08 - Votación en General. del 27/08/2008 18:17	27/08/2008	27/08/2008 18:17
188	Exp. 5733-D-08 - Orden del Día 1234 - Votación en General. del 26/11/2008 22:16	26/11/2008	26/11/2008 22:16
189	Exp. 5764-D-07 - O. del Día 65 - Vot. en Gral. y Particular. del 09/04/2008 23:10	09/04/2008	09/04/2008 23:10
190	Exp. 581-D-2009 - Votación en General y Particular del 18/11/2009 20:34	18/11/2009	18/11/2009 20:34
191	Exp. 5-PE-08 - Votación en General. del 07/05/2008 22:09	07/05/2008	07/05/2008 22:09
192	Exp. 6039-D-08 - O.D. 1696 - Vot. en General y Particular. del 25/11/2009 15:50	25/11/2009	25/11/2009 15:50
193	Exp. 60-S-09 y 86-S-09 Vot. en General y Particular del 18/11/2009 20:28	18/11/2009	18/11/2009 20:28
194	Exp. 631-D-06. Aceptación de mod. intr. por el H. Senado. del 11/03/2009 16:42	11/03/2009	11/03/2009 16:42
195	Exp. 6352-D-08 - Orden del Día 1327 - Votación en General. del 26/11/2008 21:42	26/11/2008	26/11/2008 21:42
196	Exp. 6538-D-08 - Orden del Día 1342 - Votación en General. del 03/12/2008 19:41	03/12/2008	03/12/2008 19:41
197	Exp. 6582-D-08 y otro - O.D. 1917 - Vot. Gral. y Part. del 28/10/2009 23:27	28/10/2009	28/10/2009 23:27
198	Exp. 6700-D-08 - O.D.2227 - Vot. en General y Particular. del 18/11/2009 19:44	18/11/2009	18/11/2009 19:44
199	Exp. 6801-D-08 - Votación en General. del 20/05/2009 22:55	20/05/2009	20/05/2009 22:55
200	Exp. 69-S-09 - Votación en General. del 28/10/2009 22:59	28/10/2009	28/10/2009 22:59
201	Exp. 6-PE-08 - Artículo 7. del 07/05/2008 22:21	07/05/2008	07/05/2008 22:21
202	Exp. 6-PE-08 - Votación en General. del 07/05/2008 22:11	07/05/2008	07/05/2008 22:11
203	Exp. 6-PE-09 - Votación en General. del 28/10/2009 21:48	28/10/2009	28/10/2009 21:48
204	Exp. 7009-D-06 - Orden del Día 2014 - Votación. del 28/10/2009 23:20	28/10/2009	28/10/2009 23:20
205	Exp. 70-PE-06 - Orden del Día 129. del 07/05/2008 17:59	07/05/2008	07/05/2008 17:59
206	Exp. 79-D-08 - Orden del Día 626 - Votación en General. del 27/08/2008 22:34	27/08/2008	27/08/2008 22:34
207	Exp. 7-PE-08 - Orden del Día 195 - Votación en General. del 07/05/2008 22:26	07/05/2008	07/05/2008 22:26
208	Exp. 7-PE-08. Moción de pase a Comisión. del 07/05/2008 22:25	07/05/2008	07/05/2008 22:25
209	Exp. 7-PE-09 - Orden del Día 1720 - Votación en General. del 05/08/2009 22:08	05/08/2009	05/08/2009 22:08
210	Exp. 82-S-07 - Orden del Día 52 - Votación en General. del 28/02/2008 18:10	28/02/2008	28/02/2008 18:10
211	Exp. 82-S-09 - Votación en General y Particular. del 25/11/2009 14:41	25/11/2009	25/11/2009 14:41
212	Exp. 85-D-08 (y otros) - O.D. 2200 - Vot. en Gral. y Part. del 11/11/2009 21:11	11/11/2009	11/11/2009 21:11
213	Exp. 89-S-07 - Orden del Día 1915. del 14/10/2009 12:31	14/10/2009	14/10/2009 12:31
214	Exp. 91-S-08 - Orden del Día 1231 - Votación en General. del 26/11/2008 22:13	26/11/2008	26/11/2008 22:13
215	Exp. 93-S-08 - Orden del Día 1232 - Votación en General. del 26/11/2008 22:21	26/11/2008	26/11/2008 22:21
216	Exp. 968-D-08 - Orden del Día 530 - Artículo 17. del 06/08/2009 01:31	06/08/2009	06/08/2009 01:31
217	Exp. 968-D-08 - Orden del Día 530 - Votación en General. del 06/08/2009 01:07	06/08/2009	06/08/2009 01:07
218	Exp. 98-S-07 - Orden del Día 457 - Votación en General. del 20/08/2008 18:40	20/08/2008	20/08/2008 18:40
219	Exped. 160-S-07 - Orden del día 346. Vot. en General del 04/06/2008 19:20	04/06/2008	04/06/2008 19:20
220	Expediente 1061-D-06. del 12/03/2008 16:39	12/03/2008	12/03/2008 16:39
221	Expediente 5864-D-06 - Orden del Día 172 del 04/06/2008 17:28	04/06/2008	04/06/2008 17:28
222	Expediente 7-PE-09 - Orden del Día 2164. del 04/11/2009 16:40	04/11/2009	04/11/2009 16:40
223	Expediente 81-OV-08. del 24/04/2008 00:56	24/04/2008	24/04/2008 00:56
224	Expediente 920-D-08 -- Votación en General del 27/03/2008 01:27	27/03/2008	27/03/2008 01:27
225	Expediente 922-D-08 del 27/03/2008 01:25	27/03/2008	27/03/2008 01:25
226	Expedientes 513-D-06 y 2216-D-06. del 21/05/2008 22:36	21/05/2008	21/05/2008 22:36
227	Incorporación al Trat. sobre Tablas del Expediente 513-D-06. del 21/05/2008 17:41	21/05/2008	21/05/2008 17:41
228	Moción Dip. AGUAD de Pase a Cuarto Intermedio. del 11/06/2008 21:09	11/06/2008	11/06/2008 21:09
229	Moción Dip. MACALUSE de Apartamiento del Reglamento. del 03/12/2008 21:26	03/12/2008	03/12/2008 21:26
230	Pedido de Pref.- Trat. s/Tablas Exp 4750-D-08 Dip. SANCHEZ. del 03/09/2008 19:24	03/09/2008	03/09/2008 19:24
231	Pedido de Pref.- Trat. sobre Tablas Exp 4744-D-08 Dip. MORAN del 03/09/2008 19:14	03/09/2008	03/09/2008 19:14
232	Proyecto de Resolución del 28/10/2009 22:50	28/10/2009	28/10/2009 22:50
233	Proyectos de Ley sin Disidencias ni Observaciones del 04/06/2008 17:30	04/06/2008	04/06/2008 17:30
234	Proyectos de Resolución del 28/10/2009 22:49	28/10/2009	28/10/2009 22:49
235	Solicitud de Reconsideración Art. 2 - Dip. FADEL, Patricia del 15/10/2009 02:24	15/10/2009	15/10/2009 02:24
236	Solicitud de tratamiento sobre tablas del Exp. 5535-D-09. del 18/11/2009 14:13	18/11/2009	18/11/2009 14:13
237	Vot. en General. y Particular de varios Proyectos de Ley. del 09/04/2008 23:14	09/04/2008	09/04/2008 23:14
238	Votación en General y Particular de Proyectos de Ley. del 21/05/2008 19:11	21/05/2008	21/05/2008 19:11
239	Votación en General y Particular de Proyectos de Ley. del 11/06/2008 21:52	11/06/2008	11/06/2008 21:52
240	Votación en General y Particular de Proyectos de Ley. del 20/08/2008 18:59	20/08/2008	20/08/2008 18:59
241	Votación en General y Particular de Proyectos de Ley. del 03/12/2008 23:14	03/12/2008	03/12/2008 23:14
242	Votación en General y Particular de Proyectos de Ley. del 11/12/2008 02:30	11/12/2008	11/12/2008 02:30
243	Votación en General y Particular de Proyectos de Ley. del 11/03/2009 16:01	11/03/2009	11/03/2009 16:01
244	Votación en General y Particular de Proyectos de Ley. del 20/05/2009 17:55	20/05/2009	20/05/2009 17:55
245	Votación en General y Particular de Proyectos de Ley. del 06/08/2009 01:41	06/08/2009	06/08/2009 01:41
246	Votación en General y Particular de Proyectos de Ley. del 06/08/2009 01:42	06/08/2009	06/08/2009 01:42
247	Votación en General y Particular de Proyectos de Ley. del 14/10/2009 12:33	14/10/2009	14/10/2009 12:33
248	Votación en General y Particular de Proyectos de Ley. del 14/10/2009 12:54	14/10/2009	14/10/2009 12:54
249	Votación en General y Particular de Proyectos de Ley. del 28/10/2009 22:03	28/10/2009	28/10/2009 22:03
250	Votación en General y Particular de Proyectos de Ley. del 18/11/2009 19:35	18/11/2009	18/11/2009 19:35
251	Votación en General y Particular de Proyectos de Ley. del 25/11/2009 13:52	25/11/2009	25/11/2009 13:52
